iter	Passed	Remaining
694	38609	16943
695	38639	16877
696	38691	16819
697	38748	16765
698	38807	16711
699	38859	16653
700	38888	16587
701	38920	16521
702	38975	16466
703	39004	16399
704	39034	16333
705	39063	16267
706	39118	16211
707	39150	16146
708	39180	16081
709	39232	16024
710	39260	15958
711	39288	15891
712	39318	15826
713	39369	15769
714	39397	15704
715	39425	15638
716	39475	15580
717	39522	15522
718	39550	15457
719	39598	15399
720	39627	15334
721	39674	15276
722	39703	15211
723	39733	15146
724	39761	15082
725	39803	15022
726	39999	15020
727	40041	14960
728	40077	14898
729	40135	14844
730	40168	14781
731	40222	14726
732	40250	14661
733	40278	14597
734	40331	14541
735	40382	14485
736	40412	14421
737	40441	14357
738	40472	14293
739	40503	14231
740	40556	14175
741	40585	14112
742	40644	14058
743	40673	13995
744	40703	13931
745	40752	13875
746	40804	13819
747	40832	13756
748	40860	13693
749	40911	13637
750	40960	13580
751	41012	13525
752	41042	13462
753	41094	13407
754	41144	13351
755	41199	13297
756	41271	13248
757	41351	13201
758	41421	13152
759	41452	13090
760	41520	13039
761	41559	12980
762	41589	12918
763	41646	12864
764	41676	12802
765	41734	12749
766	41765	12687
767	41819	12632
768	41871	12577
769	41917	12520
770	41946	12458
771	42002	12404
772	42048	12348
773	42079	12286
774	42132	12232
775	42162	12170
776	42214	12115
777	42248	12055
778	42435	12038
779	42532	11996
780	42605	11946
781	42661	11892
782	42716	11838
783	42766	11782
784	42817	11727
785	42865	11670
786	42893	11609
787	42943	11553
788	42992	11497
789	43021	11436
790	43076	11381
791	43128	11326
792	43158	11265
793	43212	11211
794	43244	11151
795	43405	11124
796	43459	11069
797	43543	11022
798	43609	10970
799	43644	10911
800	43702	10857
801	43752	10801
802	43801	10745
803	43829	10684
804	43858	10624
805	43887	10563
806	43938	10508
807	43967	10447
808	43996	10387
809	44030	10328
810	44059	10267
811	44091	10208
812	44141	10153
813	44190	10097
814	44222	10038
815	44269	9982
816	44318	9926
817	44372	9872
818	44422	9817
819	44450	9757
820	44480	9697
821	44548	9646
822	44626	9597
823	44704	9548
824	44763	9495
825	44793	9435
826	44822	9376
827	44851	9317
828	44903	9262
829	44951	9206
830	45004	9152
831	45054	9097
832	45082	9038
833	45133	8983
834	45162	8924
835	45192	8865
836	45237	8809
837	45268	8751
838	45299	8692
839	45350	8638
840	45398	8583
841	45427	8524
842	45456	8465
843	45487	8407
844	45550	8355
845	45620	8304
846	45680	8251
847	45727	8196
848	45762	8139
849	45820	8085
850	45873	8031
851	45934	7979
852	45968	7921
853	46000	7864
854	46055	7810
855	46113	7757
856	46146	7699
857	46197	7645
858	46248	7591
859	46276	7533
860	46329	7479
861	46385	7425
862	46415	7368
863	46470	7314
864	46506	7258
865	46598	7210
866	46751	7171
867	46820	7120
868	46879	7066
869	46909	7009
870	46957	6954
871	46987	6897
872	47038	6842
873	47065	6785
874	47093	6727
875	47120	6670
876	47166	6615
877	47193	6557
878	47222	6500
879	47249	6443
880	47294	6388
881	47342	6333
882	47369	6276
883	47418	6222
884	47468	6168
885	47496	6111
886	47525	6054
887	47622	6006
888	47685	5953
889	47738	5900
890	47811	5848
891	47846	5793
892	47880	5737
893	47950	5685
894	47982	5629
895	48013	5573
896	48041	5516
897	48070	5460
898	48099	5403
899	48128	5347
900	48181	5294
901	48237	5240
902	48267	5184
903	48295	5128
904	48349	5075
905	48397	5021
906	48427	4965
907	48479	4912
908	48508	4856
909	48538	4800
910	48570	4745
911	48626	4692
912	48655	4636
913	48701	4582
914	48747	4528
915	48778	4473
916	48826	4419
917	48857	4364
918	48909	4310
919	48942	4255
920	48995	4202
921	49024	4147
922	49071	4093
923	49123	4040
924	49151	3985
925	49181	3930
926	49212	3875
927	49245	3820
928	49313	3768
929	49346	3714
930	49381	3659
931	49411	3605
932	49441	3550
933	49471	3495
934	49527	3443
935	49588	3390
936	49633	3337
937	49662	3282
938	49712	3229
939	49764	3176
940	49792	3121
941	49843	3068
942	49875	3014
943	49904	2960
944	49933	2906
945	49962	2851
946	49995	2798
947	50053	2745
948	50103	2692
949	50132	2638
950	50160	2584
951	50187	2530
952	50234	2477
953	50282	2424
954	50311	2370
955	50361	2317
956	50426	2265
957	50473	2212
958	50609	2163
959	50691	2112
960	50763	2060
961	50795	2006
962	50834	1953
963	50883	1900
964	50913	1846
965	50941	1792
966	50990	1740
967	51018	1686
968	51050	1633
969	51079	1579
970	51108	1526
971	51135	1473
972	51164	1419
973	51221	1367
974	51278	1314
975	51305	1261
976	51334	1208
977	51361	1155
978	51389	1102
979	51419	1049
980	51467	996
981	51499	943
982	51550	891
983	51578	838
984	51621	786
985	51654	733
986	51702	680
987	51731	628
988	51759	575
989	51786	523
990	51814	470
991	51859	418
992	51887	365
993	51914	313
994	51942	261
995	51971	208
996	52027	156
997	52062	104
998	52266	52
999	52303	0
